CustomerID,Recency,Frequency,Monetary,Cluster_Name
116,48,35,12984,Recent Low-Value
117,62,4,18924,Recent Low-Value
118,216,5,4895,At Risk / Lost
119,293,1,1746,Champions
120,99,4,16242,At Risk / Lost
121,172,12,14406,At Risk / Lost
122,360,27,16924,Loyal Customers
123,214,23,6056,Loyal Customers
124,35,25,14028,Recent Low-Value
125,227,21,9821,Recent Low-Value
126,101,24,11257,At Risk / Lost
127,131,25,2467,Recent Low-Value
128,257,32,6796,At Risk / Lost
129,5,32,5290,Recent Low-Value
130,218,5,4763,Recent Low-Value
131,255,36,7162,Loyal Customers
132,359,39,4431,Loyal Customers
133,283,16,19518,Loyal Customers
134,207,33,11980,Loyal Customers
135,15,21,16346,Champions
136,346,9,3362,Loyal Customers
137,42,6,13420,Champions
138,179,35,18591,Loyal Customers
139,63,39,7136,Recent Low-Value
140,352,22,19231,At Risk / Lost
141,231,5,4777,Recent Low-Value
142,241,23,8072,Recent Low-Value
143,52,17,15429,Champions
144,96,12,4364,Loyal Customers
145,222,23,3233,At Risk / Lost
146,231,16,11712,At Risk / Lost
147,237,3,17949,Loyal Customers
148,143,30,18695,Champions
149,171,22,14258,Champions
150,29,9,9835,Champions
151,36,29,1789,At Risk / Lost
152,13,37,9863,Champions
153,160,23,7827,Champions
154,327,13,7864,At Risk / Lost
155,187,32,13103,At Risk / Lost
156,243,23,918,Recent Low-Value
157,86,17,14539,At Risk / Lost
158,284,21,15177,Loyal Customers
159,66,2,4621,At Risk / Lost
160,170,37,1224,At Risk / Lost
161,45,6,5760,Champions
162,62,18,5741,Recent Low-Value
163,134,30,17613,Champions
164,284,22,1802,Recent Low-Value
165,28,33,18485,Champions
166,108,30,11239,Loyal Customers
167,44,17,15802,Champions
168,340,32,6623,Champions
169,286,14,12497,Loyal Customers
170,331,10,8211,Loyal Customers
171,128,36,2501,At Risk / Lost
172,348,34,9581,Champions
173,231,9,10167,Loyal Customers
174,190,28,13476,Loyal Customers
175,225,11,13924,At Risk / Lost
176,283,14,13544,Recent Low-Value
177,121,39,12979,Loyal Customers
178,116,19,16212,Loyal Customers
179,233,15,639,Champions
180,259,28,11074,At Risk / Lost
181,359,24,13946,Champions
182,198,8,5715,Recent Low-Value
183,137,9,16116,At Risk / Lost
184,318,33,3056,Champions
185,165,33,8177,Loyal Customers
186,225,19,3822,Loyal Customers
187,307,3,12159,At Risk / Lost
188,234,10,5187,Loyal Customers
189,172,1,10438,Champions
190,152,29,2270,At Risk / Lost
191,315,34,3491,Loyal Customers
192,160,13,7042,Loyal Customers
193,96,1,18100,Recent Low-Value
194,233,34,13906,Recent Low-Value
195,180,29,14892,At Risk / Lost
196,113,13,12909,Recent Low-Value
197,318,29,14955,Champions
198,52,39,9208,Loyal Customers
199,268,24,6558,Loyal Customers
200,295,26,2856,Loyal Customers
201,113,17,6953,At Risk / Lost
202,101,7,7809,At Risk / Lost
203,113,13,18420,Recent Low-Value
204,81,5,19575,Loyal Customers
205,187,26,12947,Loyal Customers
206,113,3,17452,Loyal Customers
207,2,7,7397,Loyal Customers
208,130,39,16356,Loyal Customers
209,220,1,3303,Champions
210,54,17,6599,Loyal Customers
211,343,25,5273,Champions
212,224,3,17373,Loyal Customers
213,225,15,11750,At Risk / Lost
214,126,29,9273,At Risk / Lost
215,130,32,7482,Champions
216,53,26,901,Loyal Customers
217,172,16,8334,At Risk / Lost
218,218,25,13997,At Risk / Lost
219,160,28,15297,Loyal Customers
220,198,9,19833,Loyal Customers
221,247,1,10069,At Risk / Lost
222,324,29,3301,Loyal Customers
223,203,22,16833,Recent Low-Value
224,184,16,10072,Loyal Customers
225,123,7,683,At Risk / Lost
226,255,14,12819,At Risk / Lost
227,294,29,3477,Champions
228,280,19,14955,Recent Low-Value
229,325,19,3501,At Risk / Lost
230,98,2,13736,Recent Low-Value
231,198,15,19669,Loyal Customers
232,240,3,15838,At Risk / Lost
233,144,11,6872,Champions
234,97,30,19831,At Risk / Lost
235,201,18,10231,Champions
236,124,2,888,Recent Low-Value
237,187,32,16284,Champions
238,326,8,2989,Loyal Customers
239,349,22,9669,Loyal Customers
240,259,6,10241,Loyal Customers
241,148,12,19756,At Risk / Lost
242,252,36,12034,Loyal Customers
243,346,15,9869,Loyal Customers
244,147,28,7712,At Risk / Lost
245,148,18,18976,Recent Low-Value
246,352,2,16305,Loyal Customers
247,199,13,14034,Loyal Customers
248,308,15,10195,At Risk / Lost
249,128,20,4340,Recent Low-Value
250,39,29,18806,Recent Low-Value
251,338,29,10848,Recent Low-Value
252,360,3,5398,At Risk / Lost
253,129,19,1961,Champions
254,267,3,14242,Champions
255,151,14,7420,Loyal Customers
256,298,4,11467,Loyal Customers
257,99,11,17582,Loyal Customers
258,263,31,5347,Champions
259,252,32,1834,At Risk / Lost
260,144,27,4763,Loyal Customers
261,346,30,6009,At Risk / Lost
262,112,2,19900,Loyal Customers
263,60,9,12918,At Risk / Lost
264,2,28,17164,At Risk / Lost
265,304,31,8263,Champions
266,254,34,18554,At Risk / Lost
267,140,15,13458,Recent Low-Value
268,37,25,6768,Champions
269,160,36,13116,Loyal Customers
270,9,8,8101,Champions
271,233,9,10021,Recent Low-Value
272,99,37,2291,Recent Low-Value
273,147,39,8959,At Risk / Lost
274,304,32,8972,Recent Low-Value
275,208,17,19330,Recent Low-Value
276,131,35,18947,Recent Low-Value
277,152,37,5022,Recent Low-Value
278,54,19,4492,Loyal Customers
279,120,29,19667,Loyal Customers
280,161,7,13641,Champions
281,116,28,19651,At Risk / Lost
282,75,9,19481,Loyal Customers
283,113,28,15115,Recent Low-Value
284,104,6,3327,At Risk / Lost
285,340,29,2124,Loyal Customers
286,254,17,16813,Champions
287,227,16,2586,Recent Low-Value
288,112,23,1255,At Risk / Lost
289,99,31,10182,Loyal Customers
290,153,3,4577,At Risk / Lost
291,349,21,18669,Loyal Customers
292,338,26,7186,Champions
293,194,36,2417,Recent Low-Value
294,310,37,3721,Champions
295,163,22,4591,Recent Low-Value
296,208,12,16016,Recent Low-Value
297,169,13,15348,At Risk / Lost
298,161,11,2611,Loyal Customers
299,68,16,9646,Champions
300,289,8,15712,Champions
301,277,2,7948,Champions
302,304,30,14374,At Risk / Lost
303,135,30,17777,At Risk / Lost
304,195,12,2565,At Risk / Lost
305,128,10,16404,Recent Low-Value
306,33,11,15769,Champions
307,176,15,11394,Recent Low-Value
308,22,16,3275,Champions
309,238,17,7949,Champions
310,158,26,12573,Loyal Customers
311,38,2,9525,Champions
312,230,12,12322,At Risk / Lost
313,51,26,8544,At Risk / Lost
314,264,23,8310,At Risk / Lost
315,283,18,2859,Loyal Customers
316,27,32,16191,Loyal Customers
317,226,38,102,Recent Low-Value
318,277,3,17743,Champions
319,286,38,8290,Champions
320,97,3,15348,At Risk / Lost
321,284,30,5873,At Risk / Lost
322,317,1,12886,At Risk / Lost
323,304,30,19052,At Risk / Lost
324,147,32,15137,At Risk / Lost
325,4,28,1985,At Risk / Lost
326,35,21,7160,Champions
327,192,13,16431,Loyal Customers
328,49,27,7944,At Risk / Lost
329,17,36,13550,Champions
330,172,7,9591,At Risk / Lost
331,220,22,18822,Recent Low-Value
332,158,10,9368,Recent Low-Value
333,46,39,9239,Champions
334,6,15,6891,Loyal Customers
335,99,15,7271,Recent Low-Value
336,233,4,19215,Recent Low-Value
337,37,32,17353,Loyal Customers
338,280,23,193,Recent Low-Value
339,349,6,3087,At Risk / Lost
340,302,24,12947,Loyal Customers
341,181,20,10067,Recent Low-Value
342,95,37,16318,Loyal Customers
343,99,20,10552,At Risk / Lost
344,188,12,8727,Recent Low-Value
345,116,33,5047,Champions
346,191,28,6751,Recent Low-Value
347,253,8,3244,Recent Low-Value
348,161,1,16560,At Risk / Lost
349,256,37,9059,Champions
350,323,22,8397,Champions
351,128,6,6794,Champions
352,18,21,15935,At Risk / Lost
353,281,32,19357,At Risk / Lost
354,223,35,3446,At Risk / Lost
355,54,15,19632,At Risk / Lost
356,58,5,11440,At Risk / Lost
357,323,6,344,Champions
358,360,25,2725,Loyal Customers
359,174,29,3949,At Risk / Lost
360,280,7,9697,Loyal Customers
361,114,13,7837,Recent Low-Value
362,288,38,14124,Recent Low-Value
363,342,18,12100,At Risk / Lost
364,151,2,8433,Recent Low-Value
365,127,8,17376,Loyal Customers
366,155,11,7410,Recent Low-Value
367,273,33,2499,Recent Low-Value
368,104,38,4740,Loyal Customers
369,299,27,19444,Recent Low-Value
370,246,20,10491,At Risk / Lost
371,176,12,17953,Loyal Customers
372,39,31,10992,Loyal Customers
373,170,27,11297,Champions
374,247,32,13150,Champions
375,26,10,3474,Loyal Customers
376,355,3,13011,Loyal Customers
377,306,27,8947,Champions
378,13,35,14885,At Risk / Lost
379,316,31,11060,Recent Low-Value
380,313,15,13635,Recent Low-Value
381,36,16,8334,Recent Low-Value
382,173,13,10603,Loyal Customers
383,20,35,5222,At Risk / Lost
384,321,11,9952,Champions
385,264,21,5487,At Risk / Lost
386,142,11,7731,At Risk / Lost
387,143,30,7326,Recent Low-Value
388,92,35,5208,Champions
389,354,22,18708,At Risk / Lost
390,322,38,2210,Champions
391,288,31,1057,Loyal Customers
392,215,14,7246,Recent Low-Value
393,342,24,660,Champions
394,51,32,1412,Loyal Customers
395,153,36,18305,Loyal Customers
396,186,32,11695,Loyal Customers
397,63,15,5474,At Risk / Lost
398,190,35,2751,At Risk / Lost
399,125,3,10106,Recent Low-Value
400,150,16,10033,Recent Low-Value
401,314,5,16272,Loyal Customers
402,58,21,2977,Recent Low-Value
403,342,10,4183,At Risk / Lost
404,305,19,845,Recent Low-Value
405,180,25,8849,Champions
406,170,4,17425,At Risk / Lost
407,326,29,18780,Loyal Customers
408,271,19,17423,Loyal Customers
409,54,2,18094,Recent Low-Value
410,101,10,1825,At Risk / Lost
411,264,25,12313,Loyal Customers
412,53,20,9628,Loyal Customers
413,60,19,14262,At Risk / Lost
414,108,23,8953,At Risk / Lost
415,5,24,7287,Loyal Customers
416,103,11,132,Recent Low-Value
417,196,34,14993,Recent Low-Value
418,262,28,14508,Recent Low-Value
419,350,5,15260,Champions
420,47,5,3514,At Risk / Lost
421,355,21,17640,Loyal Customers
422,311,12,19610,Champions
423,308,4,12220,Recent Low-Value
424,144,20,1643,Champions
425,269,38,371,Loyal Customers
426,124,25,5395,Loyal Customers
427,106,14,15063,At Risk / Lost
428,158,11,11680,Recent Low-Value
429,147,32,19193,Recent Low-Value
430,145,11,12697,Champions
431,120,18,12145,Recent Low-Value
432,319,27,13703,Champions
433,275,18,10037,Loyal Customers
434,92,23,14930,Loyal Customers
435,58,11,6822,Loyal Customers
436,346,21,8301,Loyal Customers
437,229,5,4244,Loyal Customers
438,117,23,5706,Champions
439,318,25,6866,Loyal Customers
440,279,10,17214,Champions
441,127,22,16028,Loyal Customers
442,129,19,1748,Champions
443,58,1,2230,Champions
444,122,7,14492,Champions
445,1,4,10688,Recent Low-Value
446,239,1,4466,Champions
447,290,15,1606,Champions
448,96,12,18642,Loyal Customers
449,126,22,19400,Champions
450,118,22,15322,Champions
451,48,17,12463,At Risk / Lost
452,89,29,19713,Recent Low-Value
453,237,14,11895,At Risk / Lost
454,272,20,9958,Loyal Customers
455,189,33,12716,Recent Low-Value
456,192,15,4236,Recent Low-Value
457,69,12,13578,At Risk / Lost
458,278,20,11261,Recent Low-Value
459,349,30,2789,At Risk / Lost
460,247,38,2910,Champions
461,76,3,11763,At Risk / Lost
462,154,28,6252,Recent Low-Value
463,144,26,112,Recent Low-Value
464,86,30,11262,Loyal Customers
465,185,13,8099,Loyal Customers
466,285,13,7319,Loyal Customers
467,220,2,5428,Loyal Customers
468,69,37,3721,Recent Low-Value
469,47,38,11765,Loyal Customers
470,94,2,11414,At Risk / Lost
471,238,36,752,Champions
472,204,26,16282,Recent Low-Value
473,218,11,8912,Loyal Customers
474,341,8,3890,Recent Low-Value
475,39,22,15759,Loyal Customers
476,100,20,1745,Recent Low-Value
477,289,8,10535,Loyal Customers
478,254,29,3788,Champions
479,222,26,7789,Loyal Customers
480,357,30,1479,At Risk / Lost
481,23,17,4343,Recent Low-Value
482,250,20,10337,Recent Low-Value
483,10,16,16430,At Risk / Lost
484,246,7,19137,At Risk / Lost
485,325,16,5711,Champions
486,100,27,12616,Recent Low-Value
487,290,23,13986,Champions
488,180,24,13816,Recent Low-Value
489,223,9,6012,Recent Low-Value
490,250,35,6549,Champions
491,147,20,1825,Recent Low-Value
492,96,37,15970,Recent Low-Value
493,257,17,9404,Champions
494,325,31,7622,Loyal Customers
495,4,8,13763,Champions
496,16,15,4884,Recent Low-Value
497,280,31,9572,At Risk / Lost
498,336,30,17716,Loyal Customers
499,247,20,10155,At Risk / Lost
500,258,39,12776,Loyal Customers
501,160,12,7546,At Risk / Lost
502,340,17,4825,Loyal Customers
503,152,30,14869,Champions
504,178,29,1509,Loyal Customers
505,163,19,8305,Loyal Customers
506,33,11,16465,Loyal Customers
507,179,34,356,Recent Low-Value
508,101,7,18205,At Risk / Lost
509,268,34,15804,Champions
510,323,20,17907,At Risk / Lost
511,65,38,3090,At Risk / Lost
512,168,24,1295,Champions
513,330,10,1344,Recent Low-Value
514,43,32,11515,Loyal Customers
515,44,15,6866,Recent Low-Value
516,285,37,11762,Recent Low-Value
517,12,20,16310,Loyal Customers
518,95,3,17790,At Risk / Lost
519,302,37,10413,Loyal Customers
520,253,8,2502,Champions
521,242,23,16980,Loyal Customers
522,35,11,19883,At Risk / Lost
523,215,8,13375,Recent Low-Value
524,337,29,15015,Recent Low-Value
525,90,30,1009,Loyal Customers
526,264,10,15906,Champions
527,93,39,472,At Risk / Lost
528,90,28,1444,Recent Low-Value
529,115,36,8615,Loyal Customers
530,105,13,2531,Champions
531,196,32,19268,Champions
532,314,36,10685,Recent Low-Value
533,114,37,15562,Recent Low-Value
534,75,26,1795,At Risk / Lost
535,217,22,2007,Champions
536,277,4,17264,At Risk / Lost
537,249,31,1119,Champions
538,164,18,11557,Champions
539,357,38,1503,Loyal Customers
540,192,24,17910,Recent Low-Value
541,227,23,8955,Champions
542,177,22,5968,At Risk / Lost
543,99,2,10939,Recent Low-Value
544,36,31,110,At Risk / Lost
545,96,11,6430,Recent Low-Value
546,152,28,15161,Recent Low-Value
547,151,32,9330,Champions
548,190,5,19309,Loyal Customers
549,224,38,7564,Champions
550,37,10,14846,Recent Low-Value
551,268,24,3103,Champions
552,183,35,7295,Champions
553,13,23,19572,Recent Low-Value
554,279,17,13762,Recent Low-Value
555,217,1,13839,Champions
556,355,31,15688,Champions
557,361,31,1889,Champions
558,286,34,19520,At Risk / Lost
559,273,9,7698,Champions
560,62,22,4938,At Risk / Lost
561,84,13,5972,Loyal Customers
562,217,25,11467,At Risk / Lost
563,342,18,4399,Champions
564,187,12,17457,Loyal Customers
565,19,17,7183,At Risk / Lost
566,177,15,5594,At Risk / Lost
567,100,15,11417,Recent Low-Value
568,233,15,19890,Loyal Customers
569,76,39,3229,Recent Low-Value
570,265,13,204,Loyal Customers
571,284,17,7533,At Risk / Lost
572,206,32,7789,Recent Low-Value
573,223,9,3667,Champions
574,52,20,17665,At Risk / Lost
575,339,26,4744,Loyal Customers
576,144,27,15066,Loyal Customers
577,69,21,11430,Recent Low-Value
578,99,18,4494,Recent Low-Value
579,25,13,3634,Loyal Customers
580,53,16,12488,At Risk / Lost
581,151,9,11419,Recent Low-Value
582,144,12,6575,Champions
583,57,38,18258,Loyal Customers
584,39,19,14828,Champions
585,109,7,12106,Loyal Customers
586,181,35,16250,Champions
587,42,18,546,At Risk / Lost
588,186,16,208,Loyal Customers
589,223,39,3339,At Risk / Lost
590,122,4,6031,Recent Low-Value
591,133,25,4153,Loyal Customers
592,163,32,13846,At Risk / Lost
593,215,13,1345,Champions
594,221,17,19204,At Risk / Lost
595,235,37,13939,Loyal Customers
596,331,6,12956,At Risk / Lost
597,146,19,5205,Champions
598,239,13,3022,Champions
599,76,26,2613,Champions
600,9,14,2901,Recent Low-Value
601,74,31,13995,Loyal Customers
602,253,4,7081,Champions
603,230,39,8321,Recent Low-Value
604,7,8,6138,Champions
605,174,25,15182,At Risk / Lost
606,141,13,14748,Loyal Customers
607,168,32,464,At Risk / Lost
608,170,38,1900,Recent Low-Value
609,283,38,14210,At Risk / Lost
610,122,28,6058,At Risk / Lost
611,194,30,9196,Champions
612,5,3,7536,At Risk / Lost
613,29,28,12738,Champions
614,165,3,279,Champions
615,339,34,3973,Loyal Customers
616,136,16,17670,Recent Low-Value
617,321,22,15555,Recent Low-Value
618,342,32,17257,Recent Low-Value
619,145,38,12897,Champions
620,327,8,4560,Recent Low-Value
621,217,8,15416,Champions
622,301,6,452,Loyal Customers
623,132,14,5444,Recent Low-Value
624,292,32,4607,Champions
625,70,35,4930,Recent Low-Value
626,252,10,11320,Recent Low-Value
627,275,3,217,Loyal Customers
628,364,12,16965,At Risk / Lost
629,182,31,4387,Recent Low-Value
630,167,29,4577,Loyal Customers
631,91,5,6633,Recent Low-Value
632,202,25,16727,Recent Low-Value
633,346,31,12855,Recent Low-Value
634,19,21,965,Recent Low-Value
635,39,20,11273,At Risk / Lost
636,126,39,5429,At Risk / Lost
637,173,22,703,Recent Low-Value
638,141,4,5856,Recent Low-Value
639,242,13,11354,Loyal Customers
640,220,20,4118,Loyal Customers
641,126,13,5292,Champions
642,58,17,2115,At Risk / Lost
643,148,36,9950,Recent Low-Value
644,317,33,3480,At Risk / Lost
645,361,1,3870,Loyal Customers
646,1,15,5929,At Risk / Lost
647,348,13,1713,At Risk / Lost
648,190,17,13247,Recent Low-Value
649,191,24,15645,Recent Low-Value
650,312,8,18363,Loyal Customers
651,117,27,5472,Recent Low-Value
652,134,23,10638,Loyal Customers
653,58,8,248,Loyal Customers
654,44,8,1854,Champions
655,173,26,7478,Champions
656,160,13,13691,Champions
657,173,39,9471,At Risk / Lost
658,317,37,12879,Champions
659,303,28,9895,Recent Low-Value
660,149,25,19536,Recent Low-Value
661,80,16,5792,Champions
662,213,2,4318,At Risk / Lost
663,203,18,4903,Loyal Customers
664,252,17,18861,At Risk / Lost
665,229,30,11772,At Risk / Lost
666,164,39,3282,Loyal Customers
667,227,13,11109,Loyal Customers
668,147,32,14428,Loyal Customers
669,20,29,19644,Recent Low-Value
670,47,30,2686,Loyal Customers
671,233,18,2748,Loyal Customers
672,305,13,7413,At Risk / Lost
673,14,21,18201,At Risk / Lost
674,143,30,12644,Champions
675,1,21,7507,At Risk / Lost
676,54,17,17354,Loyal Customers
677,259,19,15334,Recent Low-Value
678,144,15,15112,At Risk / Lost
679,12,9,9835,At Risk / Lost
680,330,10,13525,Loyal Customers
681,224,31,15798,At Risk / Lost
682,272,23,15421,At Risk / Lost
683,358,30,12746,Loyal Customers
684,156,33,19724,At Risk / Lost
685,8,9,4993,Recent Low-Value
686,122,1,9576,Champions
687,348,35,17370,At Risk / Lost
688,164,11,18742,Recent Low-Value
689,90,34,4482,At Risk / Lost
690,136,16,1885,Champions
691,186,9,13130,Loyal Customers
692,316,32,11835,Champions
693,178,15,16779,At Risk / Lost
694,28,12,10345,Champions
695,220,33,2697,Champions
696,357,14,17164,Loyal Customers
697,41,8,424,At Risk / Lost
698,228,8,15260,Champions
699,192,27,12714,Champions
700,145,12,1086,Loyal Customers
701,201,1,19602,Recent Low-Value
702,212,11,860,At Risk / Lost
703,220,39,11985,Recent Low-Value
704,240,31,9328,Recent Low-Value
705,46,17,17390,Loyal Customers
706,35,33,5599,Loyal Customers
707,253,32,464,At Risk / Lost
708,82,29,19897,Recent Low-Value
709,256,21,8127,Champions
710,197,21,13632,Recent Low-Value
711,303,23,14508,Loyal Customers
712,10,6,16205,Champions
713,312,22,8039,Champions
714,286,38,14036,Loyal Customers
715,242,37,9361,Champions
716,251,8,15963,Recent Low-Value
717,5,35,12661,Loyal Customers
718,119,11,10547,At Risk / Lost
719,289,24,14272,Loyal Customers
720,65,21,11978,At Risk / Lost
721,146,2,12511,At Risk / Lost
722,224,19,19565,Loyal Customers
723,239,39,5548,Loyal Customers
724,177,28,19742,At Risk / Lost
725,267,17,2207,At Risk / Lost
726,341,6,8028,Champions
727,282,19,15334,Loyal Customers
728,63,38,19417,Loyal Customers
729,217,28,16410,Champions
730,342,2,19313,Loyal Customers
731,315,38,13628,Champions
732,283,37,13413,Champions
733,177,4,1659,Loyal Customers
734,98,22,18225,Recent Low-Value
735,105,26,15267,At Risk / Lost
736,99,36,15443,Loyal Customers
737,311,13,5930,Recent Low-Value
738,6,32,7623,Champions
739,197,17,17109,Recent Low-Value
740,351,36,18174,Loyal Customers
741,133,19,15624,Loyal Customers
742,358,35,13385,Recent Low-Value
743,259,28,11073,Loyal Customers
744,23,1,3106,At Risk / Lost
745,53,18,4402,Recent Low-Value
746,165,33,17572,Champions
747,202,12,4711,Recent Low-Value
748,83,8,9472,Recent Low-Value
749,145,24,14180,Recent Low-Value
750,85,16,15182,Recent Low-Value
751,78,4,14741,Champions
752,1,38,10193,Champions
753,51,27,8478,Champions
754,173,9,1697,Recent Low-Value
755,205,16,11700,At Risk / Lost
756,260,12,3847,At Risk / Lost
757,288,31,13979,Champions
758,34,24,19154,At Risk / Lost
759,348,14,13117,At Risk / Lost
760,95,25,19064,At Risk / Lost
761,72,34,7532,At Risk / Lost
762,39,3,18990,At Risk / Lost
763,154,24,4825,Loyal Customers
764,250,9,10537,Champions
765,162,26,13369,Recent Low-Value
766,118,20,13192,At Risk / Lost
767,259,10,7102,Loyal Customers
768,306,19,6231,Recent Low-Value
769,268,3,13361,Loyal Customers
770,54,24,12712,At Risk / Lost
771,236,5,4637,At Risk / Lost
772,222,3,13191,At Risk / Lost
773,251,27,2435,At Risk / Lost
774,313,16,4421,Recent Low-Value
775,112,15,13354,Recent Low-Value
776,255,35,19469,Loyal Customers
777,303,12,659,Champions
778,207,26,813,At Risk / Lost
779,229,34,4693,Loyal Customers
780,341,23,15284,Loyal Customers
781,66,31,15361,Loyal Customers
782,75,20,356,At Risk / Lost
783,103,12,14674,At Risk / Lost
784,192,23,137,Loyal Customers
785,252,4,10364,At Risk / Lost
786,226,23,12797,Loyal Customers
787,294,1,8752,Recent Low-Value
788,306,25,16030,At Risk / Lost
789,98,2,1932,Recent Low-Value
790,338,30,15617,Champions
791,286,3,5267,At Risk / Lost
792,335,21,532,Champions
793,347,25,4251,Loyal Customers
794,308,20,15012,At Risk / Lost
795,249,22,6511,At Risk / Lost
796,166,21,18235,At Risk / Lost
797,335,33,356,Champions
798,30,38,771,Champions
799,247,15,589,Loyal Customers
800,106,15,6989,Recent Low-Value
801,51,25,12006,Recent Low-Value
802,81,21,18580,Champions
803,133,24,18166,At Risk / Lost
804,285,5,12703,Recent Low-Value
805,138,6,2560,Recent Low-Value
806,184,23,4629,Champions
807,330,4,2075,Loyal Customers
808,273,27,3316,Champions
809,340,18,14367,Champions
810,69,21,9681,At Risk / Lost
811,34,28,4615,Champions
812,262,35,12148,At Risk / Lost
813,53,22,9876,Loyal Customers
814,205,23,3063,At Risk / Lost
815,126,3,6886,Loyal Customers
816,235,10,13966,Loyal Customers
817,43,25,6300,Loyal Customers
818,240,8,17460,Champions
819,111,11,7445,At Risk / Lost
820,249,5,145,Recent Low-Value
821,151,37,1293,Champions
822,183,38,4612,Loyal Customers
823,336,29,16730,Recent Low-Value
824,95,5,19703,Champions
825,8,9,9083,Recent Low-Value
826,360,2,736,Loyal Customers
827,184,1,3875,Recent Low-Value
828,281,30,2521,Recent Low-Value
829,195,11,13125,Loyal Customers
830,352,28,9380,Recent Low-Value
831,195,12,4283,Champions
832,155,39,11451,Recent Low-Value
833,93,26,17196,At Risk / Lost
834,160,13,5423,Champions
835,61,8,12988,Recent Low-Value
836,122,28,3744,At Risk / Lost
837,51,30,16242,At Risk / Lost
838,277,9,7873,At Risk / Lost
839,5,39,10878,Recent Low-Value
840,92,31,12601,Loyal Customers
841,170,21,14509,At Risk / Lost
842,317,34,2208,Loyal Customers
843,22,31,3714,Champions
844,326,25,10351,Loyal Customers
845,1,12,11778,Loyal Customers
